neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,review_scores_cleanliness,review_scores_location,amenities_count,wifi,kitchen,tv,air_conditioning,washer,dryer,dishwasher,microwave,refrigerator,workspace,gym,pets_allowed,parking,elevator,self_check_in,stay_length,checkin_month
East Village,Manhattan,40.72372723229208,-73.97625850509617,Private room,1,1.0,,1.0,4.82,4.8,4.76,39,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,7
East Village,Manhattan,40.72281,-73.98501,Private room,1,1.0,,1.0,4.75,4.53,4.9,43,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,6
Prospect-Lefferts Gardens,Brooklyn,40.65623,-73.9612,Entire home/apt,6,1.0,2.0,4.0,4.5,4.33,4.55,21,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,30,7
Inwood,Manhattan,40.8677,-73.92122,Entire home/apt,2,1.0,1.0,2.0,4.14,4.05,4.36,12,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,30,9
Upper East Side,Manhattan,40.77549,-73.95128,Entire home/apt,1,1.0,,1.0,5.0,5.0,5.0,10,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,30,9
Williamsburg,Brooklyn,40.70937,-73.9657,Entire home/apt,4,,2.0,,5.0,4.0,5.0,53,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,180,6
Prospect Heights,Brooklyn,40.67782,-73.97205,Private room,2,,3.0,3.0,4.87,4.76,4.98,27,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,30,7
Bedford-Stuyvesant,Brooklyn,40.68607,-73.95536,Entire home/apt,16,5.0,8.0,20.0,4.88,4.78,4.76,62,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,7
East Harlem,Manhattan,40.8019,-73.93762,Entire home/apt,8,2.0,4.0,6.0,4.85,4.77,4.42,28,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,30,8
East Village,Manhattan,40.72289,-73.98028,Entire home/apt,1,1.0,1.0,1.0,4.8,4.9,4.57,25,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,30,6
Harlem,Manhattan,40.8078,-73.95232,Private room,2,,,3.0,4.93,4.84,4.83,61,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,30,8
Carroll Gardens,Brooklyn,40.67933,-73.995,Entire home/apt,4,1.0,2.0,2.0,4.98,4.99,4.97,49,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,30,10
Little Italy,Manhattan,40.719,-73.99764,Private room,1,0.5,,1.0,4.73,4.56,4.84,31,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,30,6
West Village,Manhattan,40.73431,-74.00225,Entire home/apt,2,,1.0,,4.87,4.91,5.0,46,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,90,9
Lower East Side,Manhattan,40.7203,-73.98424,Private room,2,2.0,2.0,2.0,4.99,4.94,4.89,26,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,4,8
Astoria,Queens,40.7573,-73.91488,Entire home/apt,3,1.0,2.0,2.0,4.86,4.77,4.89,42,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,2,7
Harlem,Manhattan,40.80493,-73.94999,Private room,3,1.0,,2.0,4.83,4.87,4.77,41,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,2,6
Bedford-Stuyvesant,Brooklyn,40.68096,-73.94062,Entire home/apt,4,1.0,1.0,1.0,4.49,4.38,3.72,28,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,30,8
Bedford-Stuyvesant,Brooklyn,40.68511,-73.91927,Private room,2,1.0,,1.0,4.54,4.79,3.84,8,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,30,6
Williamsburg,Brooklyn,40.71174,-73.95798,Private room,6,2.5,3.0,3.0,4.98,4.96,4.91,35,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,31,7
Upper East Side,Manhattan,40.76967,-73.94831,Private room,2,1.0,2.0,1.0,4.41,4.26,4.72,8,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,30,6
Chelsea,Manhattan,40.74261,-74.00353,Private room,3,1.5,1.0,1.0,4.95,4.96,5.0,46,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,30,8
West Village,Manhattan,40.73917,-74.00207,Entire home/apt,3,,1.0,,4.63,4.3,4.79,26,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,90,3
Williamsburg,Brooklyn,40.71802,-73.95724,Entire home/apt,2,1.0,1.0,2.0,4.48,3.53,4.98,12,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,30,10
Upper West Side,Manhattan,40.79936,-73.96155,Private room,2,1.0,1.0,,4.69,4.57,4.76,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,30,7
Greenpoint,Brooklyn,40.73778,-73.95366,Entire home/apt,4,1.0,1.0,2.0,4.83,4.87,4.65,36,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,6
Greenpoint,Brooklyn,40.73778,-73.95366,Entire home/apt,4,1.0,1.0,2.0,4.83,4.84,4.5,36,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,6
Greenpoint,Brooklyn,40.73778,-73.95366,Entire home/apt,4,1.0,1.0,2.0,4.78,4.89,4.72,37,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,6
Greenpoint,Brooklyn,40.73778,-73.95366,Entire home/apt,4,1.0,1.0,2.0,4.85,4.85,4.7,30,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,7
Greenpoint,Brooklyn,40.73778,-73.95366,Entire home/apt,4,1.0,1.0,2.0,4.89,4.89,4.7,34,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,7
Upper West Side,Manhattan,40.79131,-73.9694,Entire home/apt,2,1.0,1.0,1.0,4.91,4.72,4.97,30,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,30,12
Chelsea,Manhattan,40.74187,-74.00223,Private room,2,1.0,,1.0,4.97,4.8,5.0,26,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,30,9
Upper West Side,Manhattan,40.79864,-73.96209,Entire home/apt,6,1.0,2.0,5.0,4.64,4.55,4.51,39,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,31,9
Windsor Terrace,Brooklyn,40.65891,-73.98556,Entire home/apt,2,1.0,1.0,1.0,4.62,4.41,4.7,35,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,30,7
Gravesend,Brooklyn,40.60602,-73.97076,Private room,1,1.0,,1.0,,,,17,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,30,6
Fort Greene,Brooklyn,40.68877615321917,-73.97762359693657,Private room,2,1.5,,1.0,4.94,4.94,4.96,47,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,6
Chelsea,Manhattan,40.74937,-73.99467,Entire home/apt,2,1.0,,2.0,4.9,4.79,4.85,40,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,30,7
Carroll Gardens,Brooklyn,40.67795402789584,-74.00098545082103,Private room,2,1.0,1.0,1.0,4.71,4.89,4.67,26,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,30,6
Harlem,Manhattan,40.82825,-73.95138,Entire home/apt,2,1.0,1.0,2.0,4.75,4.87,4.4,57,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,30,6
Park Slope,Brooklyn,40.67115,-73.98026,Entire home/apt,5,3.0,3.0,7.0,4.83,4.92,4.78,44,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,30,1
Harlem,Manhattan,40.8102731,-73.9431546,Private room,2,1.0,,1.0,4.77,4.71,4.67,41,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,6
Bedford-Stuyvesant,Brooklyn,40.68435,-73.94825,Private room,2,1.0,2.0,1.0,4.66,4.73,4.62,24,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,30,10
East New York,Brooklyn,40.66646,-73.89254,Entire home/apt,7,2.0,3.0,13.0,4.53,4.56,4.24,29,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,30,6
Harlem,Manhattan,40.80752,-73.94778,Entire home/apt,9,1.0,2.0,8.0,4.67,4.64,4.45,43,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,30,8
Harlem,Manhattan,40.8058,-73.94759,Entire home/apt,7,1.0,1.0,4.0,3.43,3.38,4.25,41,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,30,10
Harlem,Manhattan,40.80528,-73.94742,Entire home/apt,9,1.0,2.0,6.0,4.57,4.38,4.75,24,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,30,8
Upper East Side,Manhattan,40.77298,-73.95813,Private room,1,1.0,,1.0,4.73,4.45,4.91,13,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,30,10
Upper West Side,Manhattan,40.7751,-73.98595,Entire home/apt,9,2.5,2.0,4.0,4.96,4.8,4.72,30,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,30,6
Crown Heights,Brooklyn,40.67545,-73.96096,Entire home/apt,1,1.0,1.0,1.0,4.68,4.47,4.5,16,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,30,7
East Village,Manhattan,40.72113,-73.98213,Private room,1,1.0,,1.0,4.89,4.91,4.79,28,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,30,6
East Harlem,Manhattan,40.78959,-73.94705,Entire home/apt,3,1.0,1.0,1.0,4.77,4.83,4.41,21,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,30,8
Hell's Kitchen,Manhattan,40.76263,-73.99401,Private room,2,1.0,,2.0,4.8,4.78,4.86,45,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,2,6
Bedford-Stuyvesant,Brooklyn,40.68288,-73.95646,Private room,2,1.0,,1.0,4.74,4.59,4.41,44,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,30,9
Clinton Hill,Brooklyn,40.68292,-73.96381,Private room,2,1.0,,1.0,4.95,4.93,4.88,54,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,2,7
Hell's Kitchen,Manhattan,40.7672,-73.98464,Entire home/apt,1,1.0,1.0,1.0,4.89,4.9,5.0,25,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,30,6
Clinton Hill,Brooklyn,40.68818,-73.96383,Private room,2,1.0,,1.0,4.56,4.49,4.76,32,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,2,7
Park Slope,Brooklyn,40.66836,-73.98166,Entire home/apt,2,1.0,1.0,2.0,4.7,4.64,4.94,31,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,30,8
Hell's Kitchen,Manhattan,40.75876,-73.98869,Entire home/apt,3,1.5,1.0,1.0,4.98,4.77,4.91,10,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,30,6
Chelsea,Manhattan,40.74697296939259,-74.00178397023312,Private room,2,1.0,,1.0,4.69,4.14,4.95,31,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,2,6
Washington Heights,Manhattan,40.83338,-73.94326,Private room,2,1.5,,1.0,4.6,4.14,4.46,23,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,30,6
Flatbush,Brooklyn,40.65468,-73.95721,Private room,1,1.0,,1.0,4.66,4.81,4.62,40,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,30,7
East Harlem,Manhattan,40.79675,-73.93634,Entire home/apt,2,1.0,1.0,2.0,4.5,3.58,3.83,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Harlem,Manhattan,40.8073,-73.94575,Entire home/apt,8,1.0,2.0,6.0,4.71,4.22,4.67,41,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,30,8
Harlem,Manhattan,40.80557,-73.94801,Entire home/apt,9,1.0,2.0,4.0,4.67,4.58,4.58,49,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,30,8
Bushwick,Brooklyn,40.70674,-73.91959,Private room,2,1.0,,3.0,4.6,4.32,4.67,19,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,30,6
Harlem,Manhattan,40.82359,-73.94601,Private room,1,,,1.0,4.2,3.75,4.22,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,30,1
Harlem,Manhattan,40.82295,-73.94433,Private room,1,1.0,,1.0,4.26,3.61,4.43,10,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,30,1
Bedford-Stuyvesant,Brooklyn,40.69533,-73.96058,Private room,2,1.0,,1.0,4.91,4.66,4.77,47,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,7
Williamsburg,Brooklyn,40.71512,-73.95899,Entire home/apt,2,1.0,1.0,1.0,4.96,4.98,4.96,24,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,30,7
East Harlem,Manhattan,40.79245376586914,-73.94074249267578,Private room,2,1.0,,1.0,4.74,4.72,4.35,32,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,30,9
Boerum Hill,Brooklyn,40.68442,-73.98068,Private room,2,2.5,5.0,6.0,4.7,4.52,4.86,68,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,3,6
East Village,Manhattan,40.73216,-73.98678,Private room,2,1.0,,1.0,4.71,4.73,4.93,24,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,30,7
Harlem,Manhattan,40.80272,-73.95316,Private room,1,1.0,,1.0,4.97,5.0,4.81,24,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,30,12
Washington Heights,Manhattan,40.83249,-73.94466,Entire home/apt,2,1.0,,1.0,4.86,4.93,4.74,47,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,30,7
Williamsburg,Brooklyn,40.71923,-73.9582,Entire home/apt,5,1.0,1.0,4.0,4.82,4.72,4.97,25,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,30,7
Park Slope,Brooklyn,40.6767158,-73.9818207,Private room,2,1.0,,1.0,4.93,4.93,4.96,29,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,3,4
Upper West Side,Manhattan,40.78096,-73.98808,Entire home/apt,2,1.0,1.0,1.0,4.83,4.78,4.95,33,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,30,6
Crown Heights,Brooklyn,40.67635,-73.96108,Entire home/apt,2,1.0,,1.0,4.51,4.41,4.56,53,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,30,8
Park Slope,Brooklyn,40.67466,-73.97853,Entire home/apt,4,1.0,1.0,2.0,4.84,4.96,4.97,36,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,30,10
Clinton Hill,Brooklyn,40.687,-73.96149,Entire home/apt,8,1.0,2.0,5.0,4.58,4.49,4.87,57,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,30,8
Williamsburg,Brooklyn,40.71065139770508,-73.95087432861328,Private room,2,1.0,,1.0,4.83,4.62,4.86,27,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,4,7
Upper East Side,Manhattan,40.77534,-73.95106,Entire home/apt,2,1.0,1.0,1.0,4.8,4.82,4.91,30,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,30,6
Greenpoint,Brooklyn,40.72617,-73.95264,Private room,2,1.0,2.0,3.0,4.67,4.33,5.0,29,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,30,6
Hell's Kitchen,Manhattan,40.76269,-73.99361,Private room,1,1.0,,1.0,4.75,4.59,4.94,19,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,31,8
Harlem,Manhattan,40.81319,-73.94194,Private room,2,1.0,,1.0,4.8,4.68,4.6,33,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,30,8
Hell's Kitchen,Manhattan,40.75622,-73.99455,Private room,2,,,2.0,4.9,4.89,4.92,18,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,6
Lower East Side,Manhattan,40.71992,-73.99167,Entire home/apt,5,2.0,3.0,4.0,4.8,4.69,4.57,27,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,30,8
Bedford-Stuyvesant,Brooklyn,40.68339,-73.94034,Entire home/apt,2,1.0,1.0,1.0,4.9,4.95,4.57,30,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,30,6
Sheepshead Bay,Brooklyn,40.5847,-73.94088,Private room,4,1.0,,4.0,4.61,4.5,4.26,63,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,30,6
Chinatown,Manhattan,40.71681594848633,-73.98969268798828,Private room,2,2.0,,1.0,4.96,4.92,4.92,71,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,4,7
Fort Hamilton,Brooklyn,40.61933,-74.03208,Entire home/apt,1,1.0,1.0,2.0,4.69,4.46,4.85,36,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,30,7
Bensonhurst,Brooklyn,40.61943,-73.99232,Entire home/apt,2,1.0,1.0,1.0,4.78,4.68,4.7,19,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,30,7
Harlem,Manhattan,40.81553,-73.95438,Private room,1,1.0,,2.0,4.75,4.69,4.33,35,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,30,6
Fort Greene,Brooklyn,40.69287,-73.97108,Private room,2,1.0,,1.0,4.69,4.82,4.83,10,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,30,7
Ridgewood,Queens,40.70309,-73.89963,Entire home/apt,16,2.5,5.0,9.0,4.42,4.36,4.82,19,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,30,6
Mott Haven,Bronx,40.80635,-73.92201,Private room,1,1.0,,1.0,,,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6
Morningside Heights,Manhattan,40.8063,-73.95985,Private room,2,1.0,,1.0,4.67,4.49,4.89,9,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,30,12
Chelsea,Manhattan,40.74828,-73.9917,Entire home/apt,2,1.0,1.0,1.0,4.96,4.91,4.98,26,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,30,6
Prospect-Lefferts Gardens,Brooklyn,40.66,-73.95203,Private room,2,1.0,,1.0,4.44,4.7,4.22,16,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,30,6
Chinatown,Manhattan,40.71481,-73.99059,Private room,2,1.0,,1.0,4.4,4.26,4.79,21,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,30,6
Boerum Hill,Brooklyn,40.68560791015625,-73.98918914794922,Entire home/apt,6,2.0,3.0,6.0,5.0,5.0,5.0,56,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,30,10
Williamsburg,Brooklyn,40.71942398164986,-73.96005436966747,Private room,2,1.0,1.0,1.0,4.96,4.98,4.99,36,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,3,6
Spuyten Duyvil,Bronx,40.88095,-73.91701,Entire home/apt,2,1.0,2.0,4.0,4.74,4.77,4.87,51,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,30,6
Park Slope,Brooklyn,40.68009896425498,-73.9746189673198,Private room,2,1.0,,1.0,4.73,4.57,4.82,33,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,14,6
Chelsea,Manhattan,40.7401,-74.00019,Entire home/apt,2,1.0,1.0,1.0,4.81,4.74,5.0,9,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,30,7
Prospect Heights,Brooklyn,40.67319,-73.96804,Entire home/apt,2,1.0,1.0,1.0,4.82,4.9,4.9,27,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,30,8
Williamsburg,Brooklyn,40.71085,-73.96672,Entire home/apt,2,1.0,1.0,1.0,4.8,4.27,4.91,34,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,30,11
Shore Acres,Staten Island,40.61019,-74.06757,Entire home/apt,3,1.0,1.0,1.0,4.62,4.68,4.52,37,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,30,3
Williamsburg,Brooklyn,40.71137,-73.9465,Entire home/apt,5,1.0,2.0,3.0,4.92,4.93,4.94,27,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,30,7
Upper West Side,Manhattan,40.78764,-73.97274,Entire home/apt,2,1.0,1.0,2.0,4.61,4.19,4.92,19,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,30,8
Bedford-Stuyvesant,Brooklyn,40.68563832502508,-73.92470229417086,Private room,2,1.0,,1.0,4.9,4.98,4.26,40,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,30,6
Ditmars Steinway,Queens,40.77868,-73.90652,Private room,2,,2.0,,4.97,4.92,4.9,50,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,7
Upper East Side,Manhattan,40.77,-73.95842,Private room,1,,,1.0,4.66,4.57,4.87,13,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,30,8
